x_m,y_m,z_m,r,g,b
0.173869,0.039478,0.999612,98,101,102
0.338030,-0.019920,0.994000,97,103,105
0.411493,0.058740,0.986436,95,95,89
0.450240,0.099381,0.644310,107,100,81
0.407428,0.239478,0.977221,91,88,77
0.018193,0.054217,1.003970,89,92,91
-0.132643,0.202062,1.005830,126,123,109
0.233421,0.021275,1.001000,96,99,100
0.477380,-0.100742,0.685673,112,119,125
0.431555,0.242519,0.946422,80,72,58
0.442910,0.172910,0.575000,107,98,77
0.429935,0.229731,0.533806,72,66,52
0.055934,0.039549,0.997755,97,103,103
0.443611,0.163814,0.893743,90,83,66
0.342000,-0.092126,1.003420,100,112,123
0.240066,0.149857,0.983225,97,97,93
0.359197,-0.058190,0.997535,95,105,110
0.466164,0.019301,0.648471,109,103,88
0.475105,-0.022421,0.647909,116,110,100
0.111710,-0.023120,0.999000,100,107,111
0.143777,-0.052205,0.999221,102,110,116
0.463864,0.051527,0.884986,100,95,77
0.371728,0.185683,0.981250,93,94,85
0.151759,0.137434,0.987908,96,96,92
0.385536,-0.040265,0.993825,98,105,109
0.471736,0.031563,0.977500,90,86,75
0.073652,0.028600,0.998654,97,103,103
0.500278,-0.103426,0.809306,96,98,106
0.483688,-0.082229,0.691439,122,121,112
0.249772,0.231671,0.975726,106,100,85
0.343645,0.047993,0.984405,95,96,92
0.211772,0.097509,0.991792,96,97,95
0.296015,0.005826,0.999220,96,101,103
0.458121,0.109528,0.663230,108,101,83
0.213877,0.053526,0.995970,99,100,100
0.390268,0.271894,0.967398,115,113,92
0.346076,0.163541,0.982391,92,93,84
0.235988,0.245757,0.981930,122,119,102
0.439755,0.207790,0.729751,53,55,42
0.472145,0.029500,0.775004,32,36,29
0.467955,0.003487,0.813762,111,105,90
0.471222,-0.021288,0.834907,33,41,40
0.445955,0.115712,0.532081,105,98,80
0.453770,0.127688,0.679591,106,100,79
0.277590,-0.052359,1.003940,99,109,114
0.305720,0.128830,0.989000,96,96,90
0.067987,0.112182,0.993338,99,99,99
0.482305,-0.074302,0.987674,84,87,88
0.453820,0.093619,0.527577,104,96,80
0.467789,0.015661,0.727780,76,76,65
0.450078,0.127743,0.705971,106,99,78
-0.064925,-0.049226,1.014220,98,103,108
0.469704,0.029577,0.901500,80,79,65
0.458066,0.045754,0.775490,108,103,85
0.477384,-0.042329,0.729860,120,114,105
0.495616,-0.086476,0.901908,43,46,53
0.249909,-0.016173,0.996367,99,105,107
0.249320,-0.081840,0.984673,102,112,119
0.473608,-0.073978,0.645380,120,118,111
0.474533,-0.016400,0.798417,113,105,93
0.347910,0.147740,0.985667,94,95,84
-0.048496,0.059830,1.001860,89,93,93
0.456506,0.075601,0.800456,103,98,78
0.086834,-0.015917,1.008030,100,107,111
0.448410,0.113920,0.639790,105,98,78
0.323904,0.201766,0.981317,93,92,84
0.468079,0.000107,0.661971,113,109,95
-0.101658,0.167280,0.991587,107,105,93
0.490329,-0.077831,0.977406,83,86,86
0.448245,0.125533,0.759194,101,94,75
-0.012162,-0.034520,1.009260,96,102,105
0.233962,0.203609,0.983789,93,94,86
0.283801,0.037558,0.991526,96,97,97
0.173435,0.204164,0.976580,99,97,87
-0.009808,0.005772,1.005680,93,99,100
0.477624,-0.028008,0.775924,113,110,96
0.466810,-0.065370,0.621000,120,118,108
0.067850,0.023390,1.002000,96,99,100
0.249800,0.051095,0.997534,97,99,98
0.319370,-0.066730,1.003000,97,107,112
0.211816,0.187650,0.985631,95,96,88
0.446711,0.097277,0.792462,28,36,25
0.183762,0.129304,0.995685,96,97,93
0.447699,0.131690,0.675934,109,101,80
0.443794,0.147609,0.615734,104,96,75
0.297222,0.260698,0.981354,122,115,96
-0.142021,0.275895,1.011740,140,142,131
0.161665,-0.042187,1.003200,104,111,117
0.446146,0.151271,0.706905,32,33,24
0.173629,0.233694,0.985783,128,125,109
0.167984,0.186086,0.988892,96,96,90
-0.008282,-0.050180,1.007620,97,104,108
0.439853,0.224156,0.609589,95,87,68
0.357900,0.190110,0.981000,92,90,82
0.377520,0.249340,0.969000,95,89,74
-0.123690,0.123379,0.995912,78,82,77
0.475471,-0.038120,0.721391,116,111,99
0.013549,-0.056215,1.009310,102,109,114
0.499611,-0.099720,0.855699,88,99,106
0.461669,0.043589,0.851922,104,99,81
0.469227,0.047660,0.967494,90,82,69
0.143540,0.088420,1.000000,98,98,98
0.444880,0.153290,0.603000,107,98,79
0.475892,-0.056397,0.555709,115,109,101
0.324096,0.203880,0.979919,94,95,86
0.407772,0.237938,0.975629,89,87,78
0.442043,0.177276,0.748040,105,96,75
0.437495,0.222934,0.754138,96,89,68
0.177602,0.147513,0.991415,97,98,94
0.373840,0.067120,0.983000,95,96,90
0.293790,0.265422,0.970057,124,119,100
0.249812,0.045769,0.998083,98,101,100
0.009705,0.001650,1.002000,95,101,101
0.462222,0.077729,0.975958,88,82,67
0.450878,0.059065,0.618979,106,101,83
-0.182003,0.168842,1.002770,175,170,166
0.027650,0.049980,1.006000,96,99,100
0.249763,0.044131,0.991986,98,98,98
0.265040,-0.017000,1.003000,98,104,106
0.173513,0.035193,0.994281,97,103,103
0.457099,0.077452,0.777751,106,100,82
-0.056590,-0.068690,1.009000,100,105,112
0.077556,-0.056508,1.008040,106,114,120
-0.016030,-0.020381,1.002030,91,99,100
0.465597,0.009740,0.555769,101,98,82
0.187547,0.100164,0.993438,97,98,95
0.458610,0.071730,0.734000,32,33,27
0.435803,0.210090,0.907623,87,80,61
0.171830,-0.052480,0.998000,103,110,116
0.460583,0.098814,0.753947,107,104,88
0.441846,0.133966,0.829463,102,95,76
0.351461,-0.100692,0.997553,163,172,179
0.033826,-0.046468,1.007530,101,109,114
