x_m,y_m,z_m,r,g,b
0.049506,0.189998,0.720461,137,135,118
0.071800,0.089570,0.745250,127,124,121
0.035803,0.198046,0.725465,131,129,113
-0.040011,0.071576,0.748241,103,103,101
0.017520,0.151840,0.742000,115,115,109
-0.036110,0.123350,0.747000,117,112,108
0.094770,0.145700,0.740000,122,120,112
0.033778,0.132099,0.742732,100,97,98
0.077922,0.131650,0.725137,125,122,118
0.014040,0.160030,0.740000,104,101,94
-0.014119,0.165714,0.721620,128,125,110
0.027961,0.201960,0.741901,137,133,120
0.086018,0.193440,0.739612,136,131,114
-0.014401,0.161720,0.780856,107,99,87
0.085468,0.093997,0.743750,126,124,121
0.069517,0.177233,0.731333,113,110,96
-0.008342,0.168082,0.721378,131,128,113
0.009562,0.124036,0.700233,103,102,109
-0.040102,0.112152,0.726255,112,109,106
0.047435,0.113475,0.743000,125,120,116
0.036006,0.115471,0.745716,102,102,98
0.057962,0.073363,0.736689,131,131,133
0.049980,0.147475,0.741687,118,118,118
-0.038344,0.266165,0.796191,141,142,131
0.031940,0.199960,0.743500,139,134,121
0.050075,0.097773,0.736084,122,122,123
0.080106,0.183495,0.721067,127,124,110
0.077807,0.089634,0.745577,126,125,122
0.033645,0.107720,0.743000,122,119,114
0.072871,0.217623,0.721065,142,136,123
-0.036495,0.159525,0.743000,117,114,100
-0.026215,0.199780,0.745000,141,137,126
0.092535,0.086581,0.779278,123,123,127
0.074815,0.228971,0.718069,136,133,119
-0.012388,0.155438,0.743054,102,99,96
-0.006556,0.167409,0.736888,118,117,104
-0.000089,0.187807,0.746765,135,132,118
0.095847,0.189809,0.726086,142,139,123
0.021618,0.205642,0.720468,133,132,117
-0.050425,0.173810,0.745000,136,134,119
-0.024008,0.165753,0.745344,123,120,106
0.022649,0.071826,0.704246,113,118,127
0.033601,0.139661,0.728242,117,117,121
-0.023845,0.141680,0.743000,111,111,107
0.053418,0.127392,0.745753,122,125,126
0.029253,0.074273,0.752867,114,111,108
0.047797,0.107314,0.746717,98,99,95
-0.030252,0.085405,0.746634,108,108,108
-0.043342,0.103756,0.737917,107,102,100
0.075819,0.110896,0.743742,131,128,125
-0.017640,0.071930,0.748000,117,116,116
-0.012285,0.191875,0.739000,140,137,123
0.073703,0.227573,0.731667,135,132,116
0.045982,0.205963,0.739940,137,134,119
-0.023783,0.147035,0.745203,102,103,99
-0.009889,0.213575,0.725972,139,137,125
-0.004285,0.177680,0.739500,137,134,120
-0.022184,0.105862,0.797810,107,104,101
0.007709,0.116089,0.726299,118,114,111
0.055760,0.207910,0.739000,139,133,118
0.079819,0.209916,0.720519,140,134,119
-0.001604,0.133790,0.693559,117,116,125
0.085953,0.081836,0.774275,53,59,62
-0.034461,0.059749,0.809764,128,134,136
0.066216,0.221840,0.733200,137,134,118
0.084007,0.205900,0.739333,140,134,119
0.019814,0.183493,0.729963,131,129,115
-0.040528,0.173845,0.794824,130,128,113
-0.032387,0.169819,0.683456,135,134,119
0.003771,0.175640,0.723401,130,127,113
-0.020342,0.125518,0.743789,110,109,106
-0.057494,0.148479,0.743908,98,93,89
-0.028210,0.067235,0.695722,104,101,98
-0.024456,0.089307,0.736935,102,102,98
0.004132,0.158779,0.693225,92,93,84
0.055514,0.116048,0.743418,126,123,118
0.027350,0.087690,0.744000,124,121,118
-0.056311,0.143724,0.732299,105,104,97
0.003727,0.195375,0.739250,142,136,123
0.055760,0.194740,0.739000,140,137,121
0.111950,0.084930,0.740000,124,124,120
0.102075,0.157525,0.739000,121,119,111
-0.064298,0.165656,0.753692,130,127,111
-0.004157,0.211760,0.737893,140,138,125
-0.039703,0.202047,0.742000,141,139,127
0.103370,0.239570,0.736000,136,130,115
0.018070,0.195840,0.741000,139,135,121
0.091380,0.189895,0.735750,135,130,112
-0.053310,0.175540,0.745000,135,134,119
0.069453,0.097665,0.727541,128,125,120
0.007500,0.073736,0.735968,111,111,107
-0.004270,0.157670,0.737000,90,90,82
-0.048440,0.164270,0.741000,135,132,118
0.087875,0.243800,0.735000,139,133,120
0.049664,0.205345,0.725037,140,137,123
-0.026411,0.137683,0.726311,109,107,104
0.049470,0.181373,0.739864,134,130,115
0.029920,0.114219,0.749559,98,95,90
0.112220,0.107570,0.738000,126,123,118
0.095495,0.100105,0.739490,125,123,123
0.089967,0.177863,0.777265,111,104,96
-0.031240,0.186080,0.741000,140,137,123
0.027130,0.205910,0.738000,139,136,122
0.053760,0.125560,0.743000,123,118,114
0.043508,0.183965,0.743241,131,129,117
-0.036210,0.105690,0.749000,118,113,109
0.043810,0.171740,0.739371,111,108,98
0.025923,0.097666,0.757876,114,111,106
0.031790,0.123910,0.740000,120,117,112
0.089820,0.177650,0.737000,118,114,102
-0.006313,0.153202,0.723354,107,107,103
0.071966,0.092006,0.720941,107,104,99
-0.008217,0.133643,0.744701,107,106,102
-0.012313,0.099600,0.681225,102,100,99
-0.020410,0.077770,0.745633,52,54,54
0.078283,0.116471,0.769267,126,126,128
-0.022240,0.092095,0.747000,117,114,111
-0.023945,0.109890,0.746000,116,111,107
0.036198,0.086992,0.751885,119,116,111
-0.001274,0.153432,0.742727,105,105,101
0.012643,0.069642,0.693241,114,121,129
0.071882,0.133784,0.725602,125,122,115
-0.018209,0.133915,0.728311,109,109,105
-0.007904,0.089679,0.791322,109,105,98
-0.031660,0.076880,0.751000,115,111,112
-0.018616,0.121765,0.681219,93,88,86
-0.062173,0.171987,0.723678,130,131,118
0.055610,0.171940,0.737000,115,111,100
0.071650,0.215866,0.769584,134,130,119
-0.031877,0.147718,0.745698,100,101,97
0.053480,0.099588,0.732918,127,124,121
0.041575,0.129820,0.741000,121,118,113
0.091967,0.157592,0.784268,116,115,115
0.018232,0.204536,0.726001,138,137,122
-0.032253,0.207577,0.742761,139,137,125
0.102014,0.125406,0.739155,126,123,116
0.093778,0.097165,0.744741,125,125,121
-0.014267,0.127589,0.683221,117,115,116
0.054055,0.167393,0.754248,97,91,89
-0.044528,0.077815,0.821760,101,102,98
-0.032300,0.182140,0.739000,136,133,119
0.119200,0.127733,0.740000,125,123,115
0.067896,0.214289,0.739845,135,132,116
-0.030330,0.087465,0.747000,115,115,111
0.047880,0.141875,0.741000,120,117,112
-0.032619,0.079722,0.747626,62,58,59
0.103800,0.181300,0.731000,117,111,98
0.034011,0.123972,0.739953,121,118,113
0.039784,0.163297,0.738242,110,110,106
0.015407,0.119579,0.729985,114,111,106
0.001502,0.095756,0.747460,112,111,107
0.015403,0.119767,0.744705,98,95,92
0.007340,0.105537,0.696234,122,124,130
-0.041951,0.172025,0.740716,130,129,114
-0.016362,0.181503,0.722146,135,134,119
0.048381,0.154475,0.723944,118,115,110
0.006088,0.067858,0.747750,117,115,115
0.022034,0.115572,0.730991,112,109,104
0.079880,0.121620,0.740000,124,121,116
0.027925,0.122467,0.747894,119,116,111
0.034379,0.119889,0.721245,103,103,106
-0.047550,0.143795,0.745000,114,109,101
0.052175,0.087810,0.745000,124,124,120
-0.027594,0.144142,0.682212,106,103,98
0.023512,0.098081,0.746688,118,115,112
-0.010069,0.093434,0.747329,114,112,110
0.033740,0.235792,0.720024,141,141,128
0.098002,0.111428,0.784277,119,119,123
0.017532,0.069889,0.695743,114,119,128
0.034149,0.117770,0.726321,112,112,106
0.003798,0.087402,0.745331,116,114,112
0.102215,0.135950,0.740000,125,122,115
0.053490,0.137100,0.725227,88,88,83
0.029700,0.089540,0.745000,126,123,120
0.013788,0.176450,0.730992,129,128,113
0.007931,0.115607,0.747695,114,114,110
0.110080,0.087675,0.739000,129,126,123
0.051707,0.165419,0.715456,92,85,77
0.061609,0.083621,0.743868,123,123,121
0.086290,0.164300,0.736000,120,116,109
-0.040060,0.181868,0.725879,136,134,122
0.051617,0.201410,0.739667,137,134,118
-0.003819,0.135818,0.731966,105,102,97
0.087712,0.097795,0.775607,121,120,127
-0.006458,0.085449,0.746721,99,97,94
0.031739,0.123753,0.728004,115,110,106
0.086123,0.205755,0.739500,138,132,117
-0.041473,0.118446,0.702208,75,72,69
0.037770,0.086075,0.745000,122,122,118
0.047781,0.171637,0.747245,102,103,92
-0.004085,0.149683,0.725349,111,111,107
-0.016614,0.172253,0.679880,137,135,121
-0.014217,0.108129,0.725768,112,112,108
0.017520,0.103550,0.742000,122,120,114
0.102004,0.109385,0.739174,127,124,120
0.107500,0.173660,0.737000,121,119,109
0.103605,0.105838,0.740758,128,125,122
0.054131,0.133828,0.741350,116,112,107
-0.020188,0.169865,0.741703,131,129,115
-0.018220,0.101490,0.748000,118,115,110
-0.008280,0.185580,0.739000,139,136,122
-0.028130,0.168552,0.730944,127,126,111
0.022208,0.177688,0.739673,135,130,116
0.073860,0.215340,0.737000,139,133,118
0.047680,0.083372,0.743450,123,120,116
0.009505,0.103830,0.744000,116,112,107
0.019815,0.101825,0.742000,123,120,115
0.007713,0.139184,0.726339,76,74,66
0.003779,0.121883,0.727306,117,117,113
-0.010030,0.117845,0.741500,115,112,107
0.049400,0.157310,0.738000,120,117,112
0.062240,0.157333,0.739000,118,115,110
-0.046290,0.145169,0.736920,102,99,96
0.069878,0.153625,0.741282,69,70,66
0.079891,0.231501,0.741205,135,134,118
0.039941,0.119858,0.729424,119,117,115
0.103190,0.199784,0.717519,137,131,116
0.061625,0.119768,0.728036,122,119,114
-0.026351,0.097672,0.689969,104,101,96
0.105790,0.174800,0.737000,126,124,114
0.099986,0.133692,0.790275,121,118,115
0.055307,0.099575,0.742052,124,122,119
-0.020151,0.177916,0.737369,135,132,118
0.007498,0.072026,0.735968,113,113,109
0.094511,0.113060,0.725072,126,123,118
-0.031758,0.111852,0.691714,108,103,99
-0.053630,0.106056,0.737905,112,112,108
0.001856,0.135812,0.731972,108,105,100
0.037528,0.147471,0.731576,116,116,120
-0.035773,0.147329,0.687207,106,104,94
0.097878,0.153745,0.723433,125,123,115
0.081535,0.187692,0.735613,131,128,114
0.060535,0.149473,0.755254,116,116,118
-0.039803,0.200901,0.721413,140,141,130
0.006015,0.155810,0.739000,115,112,107
0.001489,0.097848,0.747557,107,104,101
0.071870,0.143975,0.740000,121,118,113
-0.040466,0.155513,0.685704,114,111,97
0.089585,0.103838,0.736991,125,123,120
0.030110,0.143600,0.741000,118,115,110
0.045685,0.155592,0.727007,117,114,109
0.078867,0.215571,0.774254,131,129,117
0.007760,0.181730,0.742000,137,134,120
0.092175,0.245970,0.733000,140,134,121
0.075953,0.169721,0.738804,124,119,112
0.077584,0.159697,0.773761,122,120,120
-0.046080,0.162900,0.740000,134,131,117
-0.014405,0.157588,0.742977,79,76,71
0.042029,0.195045,0.737239,133,129,118
0.001407,0.104031,0.689731,118,121,129
0.092597,0.205909,0.721522,141,137,121
0.065743,0.165941,0.739792,118,117,110
0.061730,0.101902,0.729533,123,120,115
0.111800,0.165540,0.739000,121,118,110
-0.015965,0.124035,0.743562,108,104,101
0.071290,0.171810,0.734000,113,109,98
0.065780,0.191670,0.736000,139,133,118
-0.010795,0.185640,0.689215,138,137,122
0.001440,0.184048,0.739750,139,136,122
0.106182,0.197872,0.735750,137,132,114
-0.042183,0.087920,0.707545,102,102,98
0.103924,0.161794,0.725090,122,120,113
-0.012410,0.073646,0.685228,113,110,106
0.049028,0.143660,0.740249,116,116,118
-0.025590,0.111701,0.684217,108,103,98
0.003974,0.199667,0.725985,140,137,123
0.061970,0.205340,0.738000,137,134,118
0.073725,0.183320,0.730000,134,131,115
-0.039728,0.165735,0.803321,129,126,110
-0.024205,0.168021,0.784845,129,126,110
-0.008383,0.127393,0.781844,110,106,102
0.044007,0.227656,0.739090,138,136,121
0.073503,0.191592,0.722061,137,134,120
-0.012350,0.148015,0.743000,112,109,106
0.065734,0.195864,0.737412,135,130,116
-0.026320,0.080050,0.748000,117,114,111
0.047880,0.197560,0.741000,142,136,121
0.046028,0.116796,0.727329,127,124,121
0.055680,0.155600,0.738000,119,116,111
0.062690,0.215503,0.719553,141,135,122
0.001795,0.155422,0.743065,103,103,97
0.017757,0.077697,0.744000,122,118,119
0.029855,0.068468,0.732662,128,128,130
0.064080,0.191670,0.736000,140,134,119
0.030405,0.078165,0.715915,120,125,134
0.035840,0.119460,0.726326,92,92,86
0.042903,0.080053,0.746891,118,115,110
0.042023,0.099736,0.729631,120,120,121
0.023870,0.073777,0.740663,122,125,124
0.117670,0.133655,0.740000,126,124,116
-0.060282,0.140315,0.732290,106,99,89
0.023840,0.129415,0.742000,121,118,113
-0.016420,0.163420,0.745000,111,108,95
0.059699,0.170254,0.759251,86,77,72
0.084140,0.083529,0.741220,115,116,114
0.078209,0.100697,0.725052,124,121,116
0.025540,0.147715,0.741500,118,115,110
0.027836,0.117781,0.729498,116,113,108
0.001445,0.151630,0.741000,111,111,107
-0.012960,0.110900,0.745000,120,117,112
0.027860,0.127348,0.745897,86,83,79
-0.038225,0.076271,0.737918,104,104,100
0.093820,0.175370,0.737000,96,92,83
0.035604,0.092118,0.731003,118,118,114
-0.026147,0.163631,0.745235,112,110,98
0.009676,0.111694,0.748692,102,99,96
0.053760,0.215562,0.733418,137,133,119
0.100060,0.229710,0.741000,136,133,117
0.011698,0.093664,0.700238,110,112,121
0.064730,0.213630,0.737000,141,135,120
-0.004270,0.214915,0.737500,140,137,123
-0.024336,0.060129,0.741612,184,190,192
0.115800,0.109430,0.739000,126,123,118
-0.015930,0.067970,0.749000,117,115,115
0.043755,0.210652,0.720031,139,138,123
-0.001931,0.085840,0.745656,114,112,112
0.069656,0.168008,0.738797,122,120,112
0.086070,0.091725,0.744000,127,126,122
-0.001262,0.097267,0.687231,120,119,126
0.114080,0.162105,0.739000,121,119,111
0.011830,0.171578,0.754900,127,124,110
0.071763,0.197837,0.775253,124,122,110
-0.004270,0.161665,0.737000,108,107,96
-0.032009,0.139671,0.686210,110,107,98
0.054190,0.145320,0.741000,120,117,112
-0.001071,0.182591,0.771888,132,129,115
0.005465,0.133669,0.769118,109,105,98
0.072050,0.239570,0.736000,140,137,123
-0.025366,0.211617,0.741180,139,136,124
0.057876,0.191677,0.720470,139,136,120
0.006070,0.097750,0.746000,120,116,112
0.054097,0.103833,0.741251,123,121,118
-0.043609,0.146197,0.696204,106,102,91
0.064035,0.217180,0.735500,139,135,119
-0.034485,0.077469,0.747698,79,77,77
0.017805,0.159482,0.746999,106,106,102
0.005724,0.071969,0.783164,105,105,101
0.035795,0.129640,0.740000,119,116,111
-0.000280,0.107865,0.744000,118,114,110
-0.016267,0.153640,0.782848,110,103,97
-0.038005,0.135792,0.729299,108,108,104
-0.019829,0.093887,0.685722,105,102,99
0.030045,0.125449,0.728002,115,110,106
0.046791,0.226704,0.737842,139,136,120
-0.010189,0.163758,0.720369,129,126,112
0.021932,0.238090,0.723011,146,144,130
0.009485,0.185755,0.742000,139,136,122
0.115900,0.179120,0.736000,98,94,85
-0.036118,0.083959,0.747542,118,116,116
0.100534,0.089666,0.785281,119,119,123
-0.000280,0.070100,0.747000,120,117,118
0.084069,0.207795,0.720269,142,136,121
0.025390,0.246740,0.737000,141,139,127
0.031790,0.127925,0.740000,121,118,113
0.051760,0.154090,0.739000,120,117,112
0.048625,0.122602,0.727925,89,86,83
0.028041,0.245673,0.739847,142,140,128
0.071596,0.175617,0.715155,115,112,98
-0.017900,0.093670,0.799309,112,109,106
0.064849,0.225022,0.720011,139,138,123
0.029519,0.173683,0.724236,111,112,101
-0.042278,0.081293,0.715213,103,101,98
0.013389,0.183610,0.728422,130,127,113
0.047655,0.147817,0.743759,117,117,113
0.053615,0.093587,0.734915,120,117,113
-0.020160,0.135286,0.680217,99,98,92
-0.021199,0.184546,0.726954,134,133,118
0.021960,0.243890,0.737000,142,140,128
-0.056571,0.116790,0.751146,117,112,110
0.001440,0.197030,0.739000,142,136,123
0.021778,0.103868,0.746693,97,94,91
0.071747,0.155627,0.740786,121,122,117
0.015399,0.167589,0.726992,106,102,91
0.091785,0.205050,0.739000,139,133,118
0.082797,0.238630,0.731046,140,137,123
0.117830,0.117765,0.741000,127,123,116
0.070700,0.135846,0.764261,82,87,92
-0.028500,0.141727,0.747694,105,102,99
0.074690,0.237780,0.734000,136,133,117
0.036701,0.079943,0.723751,118,123,132
0.043410,0.108300,0.743000,124,121,116
-0.000150,0.132247,0.746706,108,108,104
0.019409,0.120178,0.743708,94,91,88
-0.058111,0.123379,0.748652,114,111,108
-0.051871,0.119715,0.737410,105,102,97
-0.033768,0.126832,0.748675,104,105,101
-0.006418,0.081948,0.746883,105,101,100
0.048900,0.167830,0.739000,102,95,87
-0.032314,0.135602,0.728303,107,107,103
0.011780,0.151840,0.742000,112,112,106
0.079900,0.084400,0.745500,125,125,121
0.107650,0.095560,0.738000,127,124,120
0.093839,0.101528,0.725736,124,124,118
-0.036114,0.187734,0.797173,129,127,113
0.011982,0.181048,0.742767,128,125,111
-0.029532,0.123915,0.729284,112,112,108
-0.022008,0.113165,0.742669,77,76,76
-0.021835,0.177589,0.786854,130,127,111
-0.005894,0.161891,0.775868,95,87,75
-0.004080,0.207433,0.738000,142,139,125
-0.001938,0.079485,0.745649,96,96,96
-0.059833,0.139621,0.748668,106,103,98
0.085725,0.222080,0.721080,135,134,119
-0.006731,0.091900,0.734955,108,108,104
0.053993,0.179588,0.739932,125,122,107
0.002019,0.193701,0.695220,133,131,119
-0.030532,0.167641,0.741720,128,127,112
0.077545,0.097620,0.745000,126,123,118
0.081732,0.188069,0.737302,129,126,112
0.033595,0.151840,0.742000,118,115,110
-0.006000,0.191265,0.728972,136,133,119
0.031870,0.119650,0.742000,121,116,112
-0.014365,0.155612,0.743480,93,91,86
0.059480,0.165895,0.735500,127,123,117
0.046972,0.166980,0.741779,90,83,77
0.043932,0.183637,0.721347,135,132,117
0.067110,0.200190,0.738000,136,133,117
0.031734,0.203898,0.722222,136,132,118
0.069770,0.101250,0.742000,125,122,117
-0.054147,0.203964,0.726407,142,143,133
0.029700,0.093580,0.745000,122,119,116
-0.028365,0.062695,0.699222,104,101,98
0.044028,0.117233,0.744724,98,98,94
0.051425,0.072557,0.734260,76,83,91
0.007740,0.190420,0.740000,140,137,123
0.095605,0.089750,0.742000,128,125,122
-0.026299,0.135877,0.750690,106,103,100
-0.032240,0.075710,0.751000,115,111,112
-0.021965,0.191646,0.722410,139,138,124
0.069690,0.125637,0.759761,93,96,97
-0.032689,0.097757,0.812790,104,101,98
0.102075,0.149510,0.739000,125,123,115
0.061730,0.096650,0.742000,127,124,119
0.045729,0.185729,0.725279,135,133,119
-0.037965,0.140144,0.751685,106,102,103
0.065475,0.141603,0.724387,128,122,114
-0.042574,0.179421,0.735930,132,130,118
0.027796,0.169524,0.723235,108,109,98
0.038383,0.171278,0.733240,108,109,98
0.071729,0.185739,0.721058,134,132,117
-0.045924,0.104088,0.711958,107,104,97
-0.020174,0.194634,0.730957,136,134,122
-0.056639,0.205359,0.729408,140,141,130
-0.002318,0.131754,0.692226,118,117,124
0.015571,0.141629,0.744819,112,109,106
-0.023476,0.189328,0.727952,134,135,122
0.092546,0.101061,0.779276,119,118,125
0.087402,0.119808,0.741104,128,125,118
0.104940,0.099700,0.739000,128,125,120
0.033662,0.111904,0.729337,118,115,110
-0.032391,0.121901,0.805805,82,82,78
0.058115,0.147607,0.726037,118,114,110
0.084463,0.153576,0.735997,120,119,119
0.062215,0.112025,0.741000,126,121,117
0.043751,0.089578,0.729254,121,123,129
-0.031984,0.275867,0.808833,144,145,134
-0.020839,0.111865,0.741669,99,98,98
0.028052,0.189416,0.741788,135,132,118
-0.050006,0.137886,0.705202,115,111,101
0.107795,0.117445,0.739000,126,123,115
-0.029870,0.104050,0.749750,117,113,110
0.081641,0.157738,0.739523,119,118,112
0.092194,0.111575,0.779608,124,123,127
0.105869,0.165752,0.724461,125,123,113
-0.022069,0.141927,0.745699,104,103,99
0.071785,0.128575,0.763262,91,90,90
0.077726,0.179634,0.726003,119,115,106
0.048720,0.079590,0.736257,119,124,131
-0.014523,0.082142,0.685226,108,105,100
0.097500,0.162105,0.739000,121,117,111
0.074846,0.159574,0.770260,117,116,118
0.014135,0.075685,0.745000,123,120,121
0.003577,0.065753,0.748000,118,117,117
0.065276,0.187976,0.740815,129,126,112
0.067445,0.168175,0.735500,120,116,110
0.028005,0.085986,0.745226,122,119,117
0.097995,0.130047,0.741595,124,123,120
-0.037923,0.081755,0.747267,109,107,107
-0.030190,0.127380,0.743500,114,111,106
-0.031418,0.079622,0.746627,59,56,57
-0.037370,0.112070,0.749000,116,112,108
0.099783,0.099851,0.784029,122,122,125
0.025748,0.123631,0.743717,119,116,112
0.072000,0.189830,0.735500,137,131,116
0.061560,0.109000,0.740000,128,123,119
-0.019935,0.123792,0.791158,97,94,89
-0.004068,0.184051,0.723410,135,134,119
0.029779,0.155708,0.742754,110,110,106
0.040210,0.139944,0.744745,118,115,112
-0.020063,0.172162,0.739911,134,130,116
0.053672,0.135406,0.727030,120,117,112
-0.016310,0.191560,0.740000,137,134,120
0.035945,0.201550,0.743000,139,133,120
-0.016300,0.170235,0.739500,136,133,119
-0.028100,0.065650,0.749000,117,116,116
-0.014753,0.137368,0.745034,110,107,104
-0.015795,0.135350,0.743000,114,111,106
0.005163,0.096098,0.694234,120,122,130
0.087900,0.125630,0.740000,124,122,114
-0.001420,0.192710,0.740000,141,138,124
0.067539,0.126154,0.719205,120,117,113
0.051972,0.089174,0.737141,121,119,122
0.062136,0.096093,0.727929,121,118,115
0.009925,0.195944,0.745447,136,133,119
0.039745,0.189907,0.737239,132,131,119
0.060104,0.181616,0.720454,136,133,117
-0.040313,0.266094,0.796087,143,144,134
0.044754,0.174144,0.719451,136,132,119
0.029932,0.117853,0.745108,102,102,97
-0.046256,0.171970,0.730924,128,126,114
-0.012885,0.169951,0.686216,135,134,119
0.009450,0.175965,0.739500,138,132,117
0.043930,0.101825,0.742000,125,122,117
0.011899,0.137603,0.745111,114,111,107
0.019680,0.245600,0.737000,142,140,128
-0.011760,0.131715,0.742000,116,113,108
0.030093,0.193848,0.741318,137,134,120
-0.003408,0.063554,0.685234,73,78,83
0.048003,0.165642,0.726028,109,105,96
-0.042586,0.133711,0.730292,110,107,104
0.025891,0.193737,0.732231,134,132,120
0.010249,0.113864,0.747695,95,95,91
0.049576,0.193616,0.721467,137,134,118
0.076061,0.105514,0.743246,126,123,119
0.003735,0.181490,0.741000,137,134,120
-0.028130,0.099440,0.750000,115,112,108
0.055698,0.097892,0.741879,124,123,124
-0.007891,0.083921,0.746930,110,106,104
-0.042549,0.161523,0.720341,129,126,112
-0.026215,0.198050,0.745000,141,137,126
0.041745,0.089420,0.744000,125,125,121
-0.015200,0.211630,0.742000,141,137,126
0.049724,0.107830,0.739587,88,87,94
0.129130,0.113590,0.740000,101,96,92
0.030142,0.142017,0.741750,117,114,109
-0.024204,0.173167,0.722375,133,130,116
0.017513,0.095455,0.745681,117,115,111
0.010876,0.176036,0.713226,128,126,114
-0.014186,0.061189,0.745276,138,147,150
0.034029,0.145955,0.723621,74,71,68
0.039777,0.134104,0.726355,116,116,109
0.002974,0.067554,0.688237,116,123,129
0.082130,0.085900,0.729233,126,125,123
0.089901,0.155798,0.740800,126,121,116
0.104865,0.109695,0.752000,127,126,128
0.017716,0.083617,0.746669,116,115,115
-0.010575,0.167969,0.730963,118,115,101
-0.030202,0.093386,0.745642,108,108,104
0.079550,0.199844,0.719751,138,133,118
0.071246,0.222016,0.738855,134,131,117
-0.037865,0.079593,0.747811,89,86,87
0.011947,0.123806,0.744706,121,118,113
0.025776,0.149571,0.743744,111,111,107
-0.063514,0.152555,0.746902,122,118,107
-0.022102,0.117249,0.795317,109,106,103
0.069580,0.170670,0.734000,100,93,85
0.069568,0.101812,0.744728,126,126,122
0.019954,0.135994,0.729992,112,109,104
0.037560,0.155655,0.741000,117,117,111
-0.033930,0.169141,0.740719,127,126,111
0.045580,0.075491,0.743064,97,96,93
-0.038279,0.151389,0.746697,100,100,96
-0.033094,0.062526,0.737921,102,102,102
0.046256,0.085521,0.733255,121,123,131
0.100500,0.139390,0.740000,125,123,115
-0.039496,0.145799,0.747690,103,103,99
0.107861,0.109901,0.739766,113,109,107
0.067860,0.131365,0.740000,125,122,117
0.035916,0.113499,0.742980,119,114,110
0.043882,0.208117,0.739285,139,134,120
0.085935,0.194089,0.723075,136,133,119
0.107546,0.151706,0.724437,134,130,123
0.015548,0.241600,0.739889,142,140,128
0.101909,0.127660,0.740780,126,123,118
0.044120,0.107383,0.742000,125,122,117
0.016379,0.166092,0.713230,107,108,97
0.078165,0.125630,0.740000,125,122,117
0.059925,0.103985,0.741000,127,124,119
0.073616,0.127381,0.726044,124,120,114
0.108843,0.081075,0.731083,143,146,147
-0.015713,0.071547,0.748000,117,115,115
0.031956,0.223896,0.714508,140,138,125
-0.038270,0.135535,0.744000,116,112,105
0.037719,0.139760,0.731744,116,116,119
0.053847,0.115529,0.729088,120,118,114
0.102075,0.143785,0.739000,125,123,115
-0.039420,0.141870,0.744000,114,111,106
-0.030408,0.187706,0.740913,138,136,121
0.078291,0.127791,0.769265,104,104,106
-0.062352,0.174028,0.723598,131,132,119
-0.033980,0.071640,0.751000,120,117,116
0.069346,0.141987,0.762259,120,120,121
0.101870,0.100294,0.746990,121,121,125
0.087647,0.085305,0.741724,132,132,128
0.019052,0.095599,0.764865,113,110,105
-0.015890,0.103705,0.747250,117,112,108
-0.006025,0.153716,0.689721,80,81,82
-0.040494,0.104696,0.817783,111,108,105
