x_m,y_m,z_m,r,g,b
-0.138237,-0.284218,0.504000,64,70,70
-0.137730,-0.284782,0.505000,67,73,73
-0.136948,-0.284782,0.505000,65,71,71
-0.136436,-0.285346,0.506000,67,73,73
-0.135653,-0.285346,0.506000,65,71,71
-0.134352,-0.285910,0.507000,65,71,71
-0.133568,-0.285910,0.507000,65,71,71
-0.132783,-0.285910,0.507000,65,71,71
-0.132259,-0.286474,0.508000,64,70,70
-0.131473,-0.286474,0.508000,67,73,75
-0.130687,-0.286474,0.508000,68,74,76
-0.129900,-0.286474,0.508000,67,73,73
-0.129114,-0.286474,0.508000,67,73,73
-0.128328,-0.286474,0.508000,67,73,71
-0.127542,-0.286474,0.508000,70,76,74
-0.127005,-0.287038,0.509000,71,77,75
-0.126218,-0.287038,0.509000,76,82,80
-0.125430,-0.287038,0.509000,71,77,75
-0.124642,-0.287038,0.509000,72,78,76
-0.123855,-0.287038,0.509000,71,77,75
-0.123067,-0.287038,0.509000,71,77,75
-0.122279,-0.287038,0.509000,72,75,74
-0.121492,-0.287038,0.509000,71,74,73
-0.120941,-0.287602,0.510000,71,74,73
-0.120152,-0.287602,0.510000,69,72,71
-0.119597,-0.288166,0.511000,71,77,75
-0.118806,-0.288166,0.511000,60,66,64
-0.118015,-0.288166,0.511000,44,55,51
-0.117454,-0.288730,0.512000,44,55,51
-0.117117,-0.289858,0.514000,52,63,61
-0.110862,-0.294369,0.522000,60,68,67
-0.109665,-0.295497,0.524000,74,85,85
-0.109270,-0.296625,0.526000,72,83,83
-0.108868,-0.297753,0.528000,46,57,57
-0.107022,-0.299444,0.531000,73,84,84
-0.106400,-0.300008,0.532000,55,66,66
-0.105577,-0.300008,0.532000,55,66,66
-0.104753,-0.300008,0.532000,75,86,86
-0.103930,-0.300008,0.532000,73,84,84
-0.103107,-0.300008,0.532000,51,64,63
-0.102284,-0.300008,0.532000,54,67,66
-0.101460,-0.300008,0.532000,75,88,87
-0.100637,-0.300008,0.532000,72,85,84
-0.099814,-0.300008,0.532000,50,63,62
-0.098991,-0.300008,0.532000,54,67,66
-0.098167,-0.300008,0.532000,73,84,84
-0.097527,-0.300572,0.533000,73,84,84
-0.096702,-0.300572,0.533000,58,69,69
-0.096057,-0.301136,0.534000,60,71,71
-0.095231,-0.301136,0.534000,77,88,88
-0.094581,-0.301700,0.535000,73,84,84
-0.093753,-0.301700,0.535000,57,68,68
-0.093099,-0.302264,0.536000,61,72,72
-0.092442,-0.302828,0.537000,67,78,78
-0.091611,-0.302828,0.537000,72,83,83
-0.090949,-0.303392,0.538000,74,82,83
-0.089450,-0.303956,0.539000,74,85,85
-0.088616,-0.303956,0.539000,74,85,85
-0.087944,-0.304520,0.540000,72,83,81
-0.139797,-0.283437,0.504000,48,54,54
-0.139017,-0.283437,0.504000,68,74,74
-0.138237,-0.283437,0.504000,71,77,77
-0.137457,-0.283437,0.504000,67,73,73
-0.136948,-0.284000,0.505000,68,74,74
-0.136436,-0.284562,0.506000,69,75,75
-0.135653,-0.284562,0.506000,69,75,75
-0.134352,-0.285125,0.507000,68,74,74
-0.133568,-0.285125,0.507000,67,73,73
-0.132783,-0.285125,0.507000,65,71,73
-0.131998,-0.285125,0.507000,64,70,72
-0.131214,-0.285125,0.507000,67,73,75
-0.130687,-0.285687,0.508000,67,73,75
-0.129900,-0.285687,0.508000,67,73,73
-0.129114,-0.285687,0.508000,67,73,73
-0.128328,-0.285687,0.508000,68,74,72
-0.127542,-0.285687,0.508000,65,71,69
-0.126756,-0.285687,0.508000,72,78,76
-0.125970,-0.285687,0.508000,76,82,80
-0.125184,-0.285687,0.508000,72,78,76
-0.124642,-0.286249,0.509000,75,81,79
-0.123855,-0.286249,0.509000,71,77,75
-0.123067,-0.286249,0.509000,70,76,74
-0.122279,-0.286249,0.509000,71,74,73
-0.121492,-0.286249,0.509000,69,72,71
-0.120941,-0.286812,0.510000,68,74,72
-0.120152,-0.286812,0.510000,67,73,71
-0.119597,-0.287374,0.511000,67,73,71
-0.118806,-0.287374,0.511000,70,76,74
-0.118246,-0.287936,0.512000,53,59,57
-0.117454,-0.287936,0.512000,47,53,51
-0.116889,-0.288499,0.513000,50,58,57
-0.115751,-0.289624,0.515000,77,85,84
-0.114822,-0.291311,0.518000,70,81,79
-0.114241,-0.291873,0.519000,69,80,78
-0.113656,-0.292435,0.520000,69,80,78
-0.112852,-0.292435,0.520000,70,81,79
-0.112262,-0.292998,0.521000,73,84,82
-0.111670,-0.293560,0.522000,76,87,85
-0.110265,-0.294123,0.523000,64,72,71
-0.109875,-0.295247,0.525000,68,76,75
-0.107223,-0.299184,0.532000,75,86,86
-0.106400,-0.299184,0.532000,66,77,77
-0.105775,-0.299746,0.533000,46,57,57
-0.104950,-0.299746,0.533000,57,68,66
-0.104125,-0.299746,0.533000,74,85,83
-0.103107,-0.299184,0.532000,63,76,73
-0.102284,-0.299184,0.532000,51,64,61
-0.101460,-0.299184,0.532000,58,71,68
-0.100637,-0.299184,0.532000,67,80,77
-0.099814,-0.299184,0.532000,64,77,76
-0.099177,-0.299746,0.533000,52,65,64
-0.098352,-0.299746,0.533000,61,74,73
-0.097527,-0.299746,0.533000,68,81,80
-0.096702,-0.299746,0.533000,64,75,75
-0.096057,-0.300309,0.534000,59,70,70
-0.095231,-0.300309,0.534000,70,81,81
-0.094581,-0.300871,0.535000,72,83,83
-0.093929,-0.301433,0.536000,69,80,80
-0.093099,-0.301433,0.536000,67,78,78
-0.092442,-0.301996,0.537000,72,83,83
-0.091781,-0.302558,0.538000,74,85,85
-0.090949,-0.302558,0.538000,74,85,85
-0.089450,-0.303121,0.539000,77,85,86
-0.088780,-0.303683,0.540000,77,85,86
-0.087944,-0.303683,0.540000,77,85,84
-0.087270,-0.304245,0.541000,77,85,84
-0.086433,-0.304245,0.541000,75,83,82
-0.085754,-0.304808,0.542000,77,85,84
-0.084915,-0.304808,0.542000,72,83,81
-0.084232,-0.305370,0.543000,58,69,67
-0.083391,-0.305370,0.543000,73,84,82
-0.076527,-0.308182,0.548000,70,81,81
-0.075817,-0.308744,0.549000,69,80,80
-0.075104,-0.309307,0.550000,72,83,83
-0.074388,-0.309869,0.551000,76,87,87
-0.073669,-0.310431,0.552000,75,86,86
-0.072814,-0.310431,0.552000,70,81,81
-0.072091,-0.310994,0.553000,79,90,90
-0.071364,-0.311556,0.554000,76,87,87
-0.070634,-0.312119,0.555000,70,81,81
-0.069775,-0.312119,0.555000,72,83,83
-0.069040,-0.312681,0.556000,75,86,86
-0.068180,-0.312681,0.556000,73,84,84
-0.067319,-0.312681,0.556000,60,71,71
-0.066459,-0.312681,0.556000,66,77,77
-0.065598,-0.312681,0.556000,82,93,93
-0.064738,-0.312681,0.556000,76,87,87
-0.063131,-0.313243,0.557000,79,89,92
-0.062269,-0.313243,0.557000,79,89,92
-0.061407,-0.313243,0.557000,77,88,88
-0.060545,-0.313243,0.557000,76,87,87
-0.059683,-0.313243,0.557000,79,90,90
-0.058821,-0.313243,0.557000,80,91,91
-0.057199,-0.313806,0.558000,77,88,88
-0.056336,-0.313806,0.558000,79,90,90
-0.055472,-0.313806,0.558000,80,91,91
-0.054707,-0.314368,0.559000,79,90,90
-0.053842,-0.314368,0.559000,80,91,91
-0.053071,-0.314930,0.560000,79,90,90
-0.052298,-0.315493,0.561000,77,88,88
-0.051430,-0.315493,0.561000,79,90,90
-0.050562,-0.315493,0.561000,79,90,90
