x_m,y_m,z_m,r,g,b
-0.004273,-0.295475,0.527000,53,44,49
-0.003458,-0.295475,0.527000,59,50,55
-0.002643,-0.295475,0.527000,65,54,60
-0.001827,-0.295475,0.527000,66,55,61
-0.001012,-0.295475,0.527000,66,55,61
-0.000197,-0.295475,0.527000,66,55,61
0.000617,-0.294914,0.526000,64,51,55
0.001434,-0.295475,0.527000,71,58,62
0.002249,-0.295475,0.527000,73,60,64
0.003065,-0.295475,0.527000,77,64,68
0.003880,-0.295475,0.527000,82,69,73
2.123422,-3.852388,6.871000,192,194,204
2.126908,-3.839493,6.848001,193,195,205
2.137502,-3.839493,6.848001,195,197,207
2.133353,-3.813141,6.801000,197,198,211
2.136625,-3.800246,6.778000,195,196,209
2.147111,-3.800246,6.778000,194,195,208
2.142954,-3.774455,6.732000,195,196,209
2.146012,-3.761559,6.709000,197,198,211
2.148999,-3.748664,6.686000,195,196,209
2.145132,-3.723994,6.642000,191,195,207
2.148268,-3.711659,6.620000,193,197,209
2.144163,-3.686990,6.576000,194,200,211
2.612047,-3.948264,7.042000,190,195,211
2.577127,-3.879301,6.919000,189,197,212
2.552300,-3.826037,6.824000,189,197,212
2.536943,-3.787350,6.755000,188,196,211
2.521373,-3.748664,6.686000,188,196,211
2.523386,-3.736329,6.664001,189,197,212
2.525331,-3.723994,6.642000,189,197,212
2.518810,-3.699325,6.598001,189,197,212
2.520584,-3.686990,6.576000,188,196,211
2.505743,-3.650546,6.511000,187,195,210
2.507702,-3.638772,6.490000,188,196,211
2.517742,-3.638772,6.490000,190,198,213
2.527782,-3.638772,6.490000,188,196,211
2.537823,-3.638772,6.490000,192,200,215
2.547864,-3.638772,6.490000,188,196,211
2.557904,-3.638772,6.490000,186,194,209
2.576254,-3.650546,6.511000,188,196,211
2.603407,-3.674655,6.554000,189,197,212
2.639866,-3.711659,6.620000,189,197,212
2.658914,-3.723994,6.642000,189,197,212
2.686872,-3.748664,6.686000,187,195,210
2.715773,-3.774455,6.732000,185,193,208
2.744816,-3.800246,6.778000,186,194,209
2.774001,-3.826037,6.824000,190,198,213
2.813530,-3.865845,6.895000,193,201,216
2.863929,-3.920230,6.992000,183,188,204
2.895303,-3.948264,7.042000,154,159,175
2.926832,-3.976297,7.092000,150,155,171
2.958930,-4.004891,7.143000,160,165,181
2.969981,-4.004891,7.143000,195,198,217
2.981032,-4.004891,7.143000,196,199,218
2.992083,-4.004891,7.143000,188,191,208
3.003133,-4.004891,7.143000,188,191,208
3.014184,-4.004891,7.143000,188,193,209
3.025235,-4.004891,7.143000,188,193,209
3.036286,-4.004891,7.143000,188,194,207
3.047336,-4.004891,7.143000,185,191,204
3.058387,-4.004891,7.143000,185,189,203
3.069438,-4.004891,7.143000,183,187,201
3.080488,-4.004891,7.143000,183,187,201
3.091539,-4.004891,7.143000,185,189,203
3.091731,-3.990875,7.118001,185,189,203
3.102743,-3.990875,7.118001,177,181,195
3.113755,-3.990875,7.118001,171,175,189
2.500263,-2.992876,5.338000,181,187,200
2.495363,-2.977177,5.310000,180,186,199
2.490376,-2.961478,5.282000,178,184,197
2.491926,-2.953629,5.268000,180,186,199
2.480144,-2.930080,5.226000,182,188,201
2.468707,-2.907093,5.185000,181,187,200
3.741443,-3.990875,7.118001,175,180,196
3.752455,-3.990875,7.118001,176,181,197
3.749720,-3.976297,7.092000,181,186,202
3.760691,-3.976297,7.092000,182,185,204
3.758368,-3.962281,7.067000,148,151,170
3.769301,-3.962281,7.067000,145,148,165
3.780234,-3.962281,7.067000,168,171,188
3.791167,-3.962281,7.067000,178,182,196
3.802100,-3.962281,7.067000,176,180,194
3.813034,-3.962281,7.067000,175,181,194
3.823967,-3.962281,7.067000,175,181,194
3.834900,-3.962281,7.067000,174,180,193
3.845833,-3.962281,7.067000,174,180,193
3.843123,-3.948264,7.042000,175,180,196
3.854017,-3.948264,7.042000,175,180,196
3.864912,-3.948264,7.042000,174,182,199
3.875806,-3.948264,7.042000,173,181,198
3.900499,-3.962281,7.067000,172,180,197
3.925269,-3.976297,7.092000,173,181,198
3.964547,-4.004891,7.143000,172,180,195
4.019011,-4.048624,7.221000,172,180,195
4.059762,-4.078340,7.274000,174,179,195
4.131460,-4.138893,7.382000,174,179,195
4.190022,-4.185989,7.466001,174,179,195
4.217330,-4.201688,7.494000,174,179,195
4.261089,-4.233647,7.551001,175,180,196
5.050094,-4.298685,7.667000,168,176,193
5.061955,-4.298685,7.667000,171,179,196
5.054626,-4.282425,7.638000,171,179,196
5.085678,-4.298685,7.667000,168,176,193
5.097539,-4.298685,7.667000,168,176,193
5.129394,-4.315505,7.697001,169,177,194
5.161340,-4.332325,7.727000,169,177,194
5.193380,-4.349145,7.757000,168,176,193
5.226183,-4.366526,7.788001,172,180,197
5.258410,-4.383347,7.818000,174,179,197
6.202985,-4.471372,7.975000,171,180,201
6.190384,-4.453431,7.943000,171,180,201
6.178464,-4.436049,7.912000,165,174,195
6.165667,-4.418108,7.880001,164,173,194
6.177858,-4.418108,7.880001,163,174,195
6.190049,-4.418108,7.880001,163,174,195
6.202240,-4.418108,7.880001,165,177,195
6.239666,-4.436049,7.912000,164,176,194
6.251907,-4.436049,7.912000,164,174,192
6.314026,-4.471372,7.975000,166,176,194
-0.005079,-0.294099,0.526000,56,52,55
-0.004265,-0.294099,0.526000,55,49,53
-0.003451,-0.294099,0.526000,51,45,49
-0.002638,-0.294099,0.526000,64,53,59
-0.001824,-0.294099,0.526000,66,55,61
-0.001010,-0.294099,0.526000,66,55,61
-0.000196,-0.294099,0.526000,66,55,61
0.002245,-0.294099,0.526000,64,53,59
0.003059,-0.294099,0.526000,65,54,60
0.003873,-0.294099,0.526000,66,55,61
0.054824,-0.414870,0.742000,164,169,185
0.055972,-0.414870,0.742000,176,180,192
0.056965,-0.413752,0.740000,182,186,198
0.058032,-0.413193,0.739000,187,189,199
0.059095,-0.412634,0.738000,191,193,203
0.060155,-0.412075,0.737000,189,188,199
0.061295,-0.412075,0.737000,187,186,197
0.062351,-0.411516,0.736000,186,185,196
0.063489,-0.411516,0.736000,182,181,192
1.351010,-3.882560,6.944000,187,189,197
1.361753,-3.882560,6.944000,187,189,197
1.367554,-3.868582,6.919000,187,189,197
1.373477,-3.855164,6.895000,187,189,197
1.379327,-3.841744,6.871000,187,189,197
1.380449,-3.815466,6.824000,187,189,197
1.376941,-3.776886,6.755000,187,189,197
1.377944,-3.751166,6.709000,188,190,198
1.374458,-3.713705,6.642000,188,190,198
1.375561,-3.689104,6.598001,188,190,198
1.376527,-3.664502,6.554000,190,192,200
1.382012,-3.652201,6.532001,188,190,198
1.387642,-3.640460,6.511000,190,192,200
1.397715,-3.640460,6.511000,190,192,200
2.095125,-3.828885,6.848001,194,193,202
2.098340,-3.815466,6.824000,192,194,202
2.108897,-3.815466,6.824000,194,196,204
2.112310,-3.802606,6.801000,193,195,205
2.115653,-3.789746,6.778000,192,194,204
2.118924,-3.776886,6.755000,193,195,205
2.122124,-3.764026,6.732000,194,196,206
2.132540,-3.764026,6.732000,195,197,207
2.135633,-3.751166,6.709000,195,197,207
2.138655,-3.738306,6.686000,195,196,209
2.134856,-3.713705,6.642000,195,196,209
2.138027,-3.701404,6.620000,192,196,208
2.133990,-3.676803,6.576000,191,195,207
2.129817,-3.652201,6.532001,194,200,211
2.714155,-4.143113,7.410000,191,196,212
2.656099,-4.037438,7.221000,190,195,211
2.601152,-3.937355,7.042000,190,195,211
2.575696,-3.882560,6.944000,190,195,211
2.541743,-3.815466,6.824000,189,197,212
2.526492,-3.776886,6.755000,188,196,211
2.511029,-3.738306,6.686000,188,196,211
2.496483,-3.701404,6.620000,188,196,211
2.490064,-3.676803,6.576000,188,196,211
2.500237,-3.676803,6.576000,189,197,212
2.493614,-3.652201,6.532001,188,196,211
2.487621,-3.628718,6.490000,187,195,210
2.481498,-3.605235,6.448000,187,195,210
2.475244,-3.581751,6.406000,187,195,210
2.477008,-3.570010,6.385000,190,198,213
2.496764,-3.570010,6.385000,192,200,215
2.514887,-3.581751,6.406000,188,196,211
2.524797,-3.581751,6.406000,190,195,211
2.569643,-3.616976,6.469000,190,195,211
2.604774,-3.652201,6.532001,190,195,211
2.641300,-3.689104,6.598001,190,195,211
2.669190,-3.713705,6.642000,191,196,212
2.697216,-3.738306,6.686000,188,193,209
2.735502,-3.776886,6.755000,189,194,210
2.764652,-3.802606,6.801000,185,193,208
2.803737,-3.841744,6.871000,190,198,213
2.854098,-3.895980,6.968000,194,199,215
2.885024,-3.923377,7.017000,177,182,198
2.906198,-3.937355,7.042000,154,159,177
2.927448,-3.951333,7.067000,150,155,173
2.948776,-3.965311,7.092000,162,165,184
2.970599,-3.979848,7.118001,193,196,215
2.981611,-3.979848,7.118001,193,196,213
2.992623,-3.979848,7.118001,189,192,209
3.014184,-3.993826,7.143000,185,188,205
3.025235,-3.993826,7.143000,190,193,210
3.025659,-3.979848,7.118001,189,195,208
3.036671,-3.979848,7.118001,188,194,207
3.047683,-3.979848,7.118001,178,184,197
3.069438,-3.993826,7.143000,171,177,190
3.080488,-3.993826,7.143000,171,177,190
3.080719,-3.979848,7.118001,166,172,185
3.091731,-3.979848,7.118001,166,172,185
3.102743,-3.979848,7.118001,166,172,185
3.102382,-3.965311,7.092000,171,177,190
2.493706,-2.976779,5.324000,180,186,199
2.488784,-2.961123,5.296000,180,186,199
2.483776,-2.945468,5.268000,180,186,199
2.478681,-2.929812,5.240000,180,186,199
2.460686,-2.899061,5.185000,180,186,199
2.462518,-2.891792,5.172000,178,184,197
2.463832,-2.883964,5.158000,178,184,197
3.746068,-4.008363,7.169000,175,180,196
3.757159,-4.008363,7.169000,175,180,196
3.754583,-3.993826,7.143000,175,180,196
3.752455,-3.979848,7.118001,176,181,197
3.749720,-3.965311,7.092000,175,180,196
3.760691,-3.965311,7.092000,182,185,204
3.771663,-3.965311,7.092000,156,159,178
3.782635,-3.965311,7.092000,148,151,168
